Time	ID	Naive exposed	Naive infected	Focal exposed	Focal infected
27.1412	5816	1	0	1	1
27.1609	7066	2	1	1	0
27.1643	4023	1	1	2	0
27.1882	2041	1	0	0	0
27.1949	938	4	1	1	0
27.2011	3632	0	0	1	1
27.2121	2256	0	0	0	0
27.2264	6584	15	3	5	1
27.2352	5649	2	1	4	0
27.238	1651	13	4	4	1
27.2535	6132	3	0	1	0
27.2553	3880	0	0	1	0
27.2763	5308	4	1	3	1
27.2809	6260	1	0	1	0
27.2895	3956	3	1	1	0
27.2907	2753	5	1	2	1
27.2973	5371	5	0	4	0
27.3006	7046	3	2	3	0
27.3177	5240	1	0	1	0
27.3261	298	0	0	0	0
27.3367	3385	7	2	5	1
27.3388	9794	1	0	1	1
27.3561	5885	0	0	0	0
27.3684	4748	2	0	1	0
27.3864	8933	3	0	4	1
27.3875	7756	18	7	6	0
27.3977	9012	11	0	7	0
27.3996	8403	0	0	0	0
27.4253	9564	0	0	0	0
27.4268	2811	1	0	1	1
27.429	4725	2	0	1	0
27.4369	794	2	0	1	0
27.4527	8250	0	0	1	1
27.4545	6585	3	2	0	0
27.4613	9481	1	0	0	0
27.4713	824	0	0	1	0
27.4821	5060	2	0	1	1
27.4984	2703	4	1	1	0
27.5004	1406	10	5	2	0
27.5064	4462	3	0	1	1
27.5147	8602	1	0	3	1
27.5151	6337	16	3	1	0
27.517	4666	1	1	0	0
27.5219	4409	0	0	2	0
27.5285	495	9	1	1	0
27.55	7241	0	0	0	0
27.5551	8924	8	1	6	1
27.5637	2994	3	1	1	0
27.5661	6722	5	0	2	1
27.572	9411	11	4	2	1
27.5742	4762	3	0	1	0
27.5753	5299	5	3	4	0
27.5754	6927	9	2	3	0
27.5833	7635	2	0	0	0
27.5858	6612	1	0	4	1
27.5863	1645	12	4	5	1
27.5867	9988	4	2	2	0
27.5896	6673	2	1	0	0
27.5899	1385	5	2	3	1
27.5914	8657	1	0	1	0
27.5963	4429	1	0	2	0
27.5964	247	12	3	4	0
27.598	1488	0	0	0	0
27.6037	1121	7	1	2	0
27.6076	5625	0	0	0	0
27.6157	5107	4	0	0	0
27.6179	101	1	1	1	0
27.6183	1827	1	1	1	1
27.6229	3933	5	0	0	0
27.6238	9538	0	0	2	0
27.6317	1522	6	2	1	0
