Time	ID	Naive exposed	Naive infected	Focal exposed	Focal infected
26.8634	9658	1	0	0	0
26.873	8723	0	0	0	0
26.8967	9002	13	2	1	1
26.8995	3080	0	0	0	0
26.9142	1518	1	0	0	0
26.9148	1498	0	0	0	0
26.9522	4811	0	0	0	0
26.9932	5946	4	2	2	1
26.9991	9226	7	2	3	0
27.0046	5617	11	4	2	1
27.0239	6932	3	3	0	0
27.0551	8154	2	1	1	0
27.0679	7990	0	0	3	3
27.0685	9202	3	2	2	1
27.077	3912	0	0	0	0
27.0875	4915	7	2	2	0
27.1332	1943	5	1	0	0
27.1592	1826	7	1	0	0
27.17	5106	4	0	1	1
27.1789	8336	7	3	4	1
27.2091	1073	0	0	0	0
27.2226	7664	12	5	2	0
27.232	4195	8	2	3	0
27.2377	4845	1	1	0	0
27.2407	5197	4	1	2	0
27.2425	7037	0	0	0	0
27.2579	8568	1	0	0	0
27.2701	8438	13	5	2	1
27.3042	1593	0	0	0	0
27.3215	6007	3	1	1	0
27.3308	7439	4	1	1	0
27.3325	5166	0	0	0	0
27.3337	6817	3	1	1	1
27.3338	6221	7	1	0	0
27.3357	2532	1	0	2	0
27.3505	5457	3	1	2	0
27.3572	4096	1	0	0	0
27.3858	6385	3	0	2	0
27.399	7570	2	0	3	1
27.4251	2883	5	1	3	1
27.4272	6929	3	0	1	0
27.488	574	1	0	1	0
27.4941	9879	5	1	0	0
27.5002	8952	0	0	0	0
27.5012	5901	0	0	0	0
27.503	448	10	3	1	0
27.5088	801	6	3	3	0
27.5144	2515	7	3	1	0
27.5158	7626	5	0	4	1
27.5227	2110	0	0	0	0
27.5281	5219	4	0	0	0
27.5315	231	10	4	3	0
27.5412	7443	4	0	4	1
27.5418	2848	0	0	0	0
27.5428	8740	2	0	0	0
27.5642	4077	1	0	2	0
27.567	5136	1	0	0	0
27.5721	1883	2	1	2	0
27.6179	1569	0	0	0	0
27.6219	7202	0	0	0	0
27.6325	2166	2	0	3	1
27.6343	2319	1	0	0	0
27.6345	9086	2	1	1	0
27.6434	6739	1	0	1	0
27.6502	7701	7	1	2	0
27.6533	6856	1	0	0	0
27.6551	4608	6	3	0	0
27.6611	4515	1	1	1	1
27.6641	4675	8	1	3	0
27.6726	9221	0	0	0	0
27.6782	2542	1	0	1	0
27.7069	5313	5	1	0	0
27.7182	1093	2	2	4	0
27.7433	1382	2	1	0	0
27.7474	5607	3	1	2	1
27.7479	7919	4	1	0	0
27.7539	9205	3	1	1	0
27.7559	2512	1	0	1	0
27.7635	6371	6	1	2	0
27.7661	8204	7	2	0	0
27.7701	9831	9	1	5	1
27.7737	1517	5	1	3	1
27.784	3281	4	1	5	2
27.8	7281	7	5	2	1
27.8115	7844	0	0	0	0
27.817	256	1	1	1	1
27.8186	5961	4	1	1	0
27.8347	9938	1	1	1	1
27.8521	4784	7	3	3	0
27.8608	1114	9	3	3	1
27.9265	2929	1	0	2	0
27.9298	704	1	0	1	0
27.9322	3288	9	4	1	0
27.9416	9217	1	0	0	0
27.9459	7159	4	2	3	0
27.9732	5511	6	1	2	0
27.9843	858	0	0	0	0
27.9936	3501	3	1	4	1
27.9942	1117	1	0	1	0
27.9988	1132	0	0	0	0
28.0324	5396	3	0	1	0
28.0593	8069	1	1	0	0
28.0774	3036	3	0	4	0
28.0863	9017	8	3	4	0
28.0891	104	2	1	0	0
28.0891	4961	1	0	0	0
28.0896	5864	3	1	4	0
28.0938	9451	0	0	0	0
28.0982	4987	0	0	0	0
28.107	2436	10	2	1	1
28.113	4956	1	1	1	0
28.1174	7437	3	2	0	0
28.1564	5228	0	0	0	0
28.1589	6982	5	3	4	0
28.1718	6409	4	0	1	0
28.1728	4900	0	0	0	0
28.1789	6785	4	1	0	0
28.1915	2678	4	1	0	0
28.222	7128	0	0	0	0
28.2365	741	7	1	2	1
28.2418	4518	2	0	2	0
28.2465	5631	5	0	4	0
28.2513	9498	6	1	0	0
28.2786	8866	1	1	1	0
28.2814	1124	0	0	0	0
28.3006	6299	2	0	2	0
28.305	2265	0	0	0	0
28.318	4358	4	2	1	0
28.3208	5825	11	1	1	0
28.3227	6044	4	1	2	0
28.3292	6983	0	0	0	0
28.3352	7646	0	0	0	0
28.35	2685	0	0	0	0
28.3655	2951	1	0	0	0
28.3739	7519	8	3	1	1
28.3794	8136	0	0	0	0
28.3883	6827	1	1	0	0
28.3887	4206	0	0	2	0
28.4231	5896	0	0	0	0
28.4262	1303	2	0	0	0
28.4379	7806	0	0	0	0
28.4408	1757	2	0	2	0
28.4467	7595	0	0	0	0
28.4471	8984	0	0	0	0
28.4567	8181	1	1	0	0
28.4679	7750	11	3	0	0
28.4768	5703	2	1	1	0
28.4873	6940	4	0	0	0
28.4915	9759	0	0	0	0
28.5132	455	0	0	0	0
28.5163	1152	0	0	0	0
28.5243	6800	0	0	0	0
28.5248	660	0	0	0	0
28.5396	8429	4	1	1	0
28.548	7904	1	0	0	0
28.5683	8910	4	1	1	1
28.5732	7618	0	0	1	0
28.5771	6870	1	0	0	0
28.5893	2555	5	0	3	0
28.5976	2546	0	0	0	0
28.6203	7400	13	4	6	0
28.6266	8835	1	0	2	0
28.6462	8576	2	0	2	0
28.6477	5845	2	0	0	0
28.6488	8891	4	1	2	0
28.6674	6910	5	2	0	0
28.674	4567	1	0	2	0
28.6824	734	2	0	1	0
28.683	3696	2	0	0	0
28.692	2046	5	1	2	0
28.6923	2214	0	0	3	1
28.7062	8130	1	1	1	0
28.715	2609	2	0	4	1
28.7229	8489	3	1	1	0
28.7329	1560	11	1	2	0
28.7394	1512	2	0	2	1
28.7426	4953	0	0	0	0
28.7528	6645	2	0	3	0
28.7616	3384	0	0	1	0
28.767	4757	7	0	3	1
28.7705	182	0	0	0	0
28.773	3101	1	1	3	0
28.7742	4681	0	0	3	1
28.799	3494	3	0	3	1
28.8056	1641	2	0	0	0
28.81	7263	7	4	1	0
28.8115	8653	1	0	0	0
28.8131	4483	4	0	0	0
28.821	8384	2	1	1	0
28.8239	5374	0	0	0	0
28.8409	9659	1	0	2	0
28.8414	8649	1	1	0	0
28.8607	6418	0	0	1	0
28.8722	8646	1	0	1	0
28.8735	2689	0	0	0	0
28.895	4405	1	0	0	0
28.8953	4699	2	0	2	2
28.9153	5663	0	0	0	0
28.9333	5378	0	0	1	0
28.9464	2594	4	0	2	0
28.9488	1729	6	3	4	1
28.9528	1272	9	4	6	1
28.9542	5834	2	0	2	0
28.9592	9163	7	1	2	1
28.9685	7111	2	1	1	0
28.97	6344	0	0	0	0
28.9714	8102	15	4	3	0
28.9883	8512	0	0	0	0
28.9886	2859	0	0	1	0
29.0076	8685	6	1	1	0
29.0084	1514	6	0	3	0
29.0095	2878	2	1	1	0
29.0253	769	7	3	2	0
29.0262	117	0	0	0	0
29.028	4325	2	1	4	0
29.0302	1664	6	3	2	0
29.058	6909	6	2	2	1
29.0794	5932	0	0	0	0
29.1191	5428	1	0	1	0
29.1353	7189	0	0	0	0
29.1412	4100	4	0	1	0
29.1417	6403	2	0	1	0
29.142	8268	0	0	0	0
29.1606	8483	0	0	1	0
29.1612	3920	1	1	1	0
29.1636	4639	0	0	0	0
29.1649	8800	1	0	1	0
29.1698	1653	6	1	4	0
29.1768	6368	7	0	3	1
29.1801	5500	6	0	0	0
29.1825	9533	2	1	1	0
29.192	2068	10	2	0	0
29.1985	5957	5	1	4	1
29.2142	6339	0	0	1	0
29.2187	3617	4	1	0	0
29.2304	3104	3	1	0	0
29.2325	8601	12	3	3	0
29.2391	1143	1	0	0	0
29.2597	5979	3	2	3	2
