"num_exps","risks","inf"
"500",1,0.134042685104252,0
"501",1,0.00129205957639909,0
"502",2,0.449891099948994,0
"503",1,0.954210103332939,1
"504",1,0.0730238248271597,0
"505",1,0.425695093857239,0
"506",2,0.0373678135550916,0
"507",3,0.0627811660623775,0
"508",2,0.0111336413782678,0
"509",1,0.144326400115376,0
"510",3,0.0639917923525631,0
"511",2,0.0452945510322222,0
"512",2,0.0919228081960668,0
"513",1,0.0747521106427506,0
"514",1,0.350179066912074,0
"515",2,6.53487954060221e-05,0
"516",2,0.0729186893688242,0
"517",2,0.0313781897790691,0
"518",3,0.05640834282103,0
"519",3,0.233552190578461,0
"520",1,0.632936922833486,0
"521",2,0.00125837068467503,0
"522",2,0.219135111810032,0
"523",2,0.0577064002826237,0
"524",2,0.0551203260932269,0
"525",4,0.000403901874411651,0
"526",1,0.0402613990299566,0
"527",1,0.0176537751878477,0
"528",1,0.123904105325435,1
"529",1,0.00910718869853373,0
"530",2,0.202734807398383,0
"531",2,0.096825402272339,0
"532",1,0.112920289915731,0
"533",2,0.123438149162004,0
"534",3,0.328134987229218,0
"535",3,0.0853822961361769,1
"536",2,0.212290097095111,0
"537",1,0.0450974917628355,0
"538",1,0.0293284174881177,0
"539",1,0.0599210364808198,0
"540",1,0.253781153693848,0
"541",3,0.00637241622211578,0
"542",1,0.297165541260619,0
"543",1,0.00286248319537816,0
"544",2,0.478154857378001,0
"545",2,0.108687580207246,0
"546",2,0.265535654885052,0
"547",1,0.0248449219732223,0
"548",2,0.10011586825072,0
"549",1,0.164409000620697,0
"550",2,0.1222440361664,0
"551",1,0.295722921884769,1
"552",1,0.0757735475124438,0
"553",2,0.00920316034740733,0
"554",1,0.470724955519409,1
"555",3,0.0679517186736166,0
"556",2,0.000669230005238379,0
"557",2,0.0765578962970073,0
"558",2,0.01867464782847,0
"559",2,0.0977984578107822,0
"560",2,0.114778729893691,0
"561",1,0.0342436989996689,0
"562",1,0.727476172035606,1
"563",2,0.865625407592261,1
"564",2,0.230724138172223,0
"565",1,0.185121623628221,0
"566",2,0.499941981501095,0
"567",1,0.0499057082154188,0
"568",1,0.000194172931539823,0
"569",1,0.043153288881556,0
