"","V1","V2","V3"
"15",0.3,0.22,5.6
"16",0.32,0.22,6.3
"17",0.34,0.22,5.5
"18",0.36,0.22,5.6
"19",0.38,0.22,6.9
"20",0.4,0.22,6.7
"21",0.42,0.22,6.7
"22",0.44,0.22,7.2
"23",0.46,0.22,6.7
"24",0.48,0.22,5.7
"25",0.5,0.22,7.2
"26",0.52,0.22,8.5
"27",0.54,0.22,7.2
"28",0.56,0.22,9.6
"29",0.58,0.22,9.9
"30",0.6,0.22,9.2
"31",0.62,0.22,8.7
"32",0.64,0.22,11
"33",0.66,0.22,10
"34",0.68,0.22,9.8
"35",0.7,0.22,11.8
"36",0.72,0.22,13.7
"37",0.74,0.22,15.9
"38",0.76,0.22,15.4
"39",0.78,0.22,18.2
"40",0.8,0.22,22
"41",0.82,0.22,26.2
"42",0.84,0.22,29.5
"43",0.86,0.22,32.7
"44",0.88,0.22,41
"45",0.9,0.22,47.7
"46",0.92,0.22,57.9
"47",0.94,0.22,62.7
"48",0.96,0.22,75.2
"49",0.98,0.22,80.3
"","V1","V2","V3"
"1",0.02,0.24,5.4
"2",0.04,0.24,4.4
"3",0.06,0.24,5.4
"4",0.08,0.24,5.4
"5",0.1,0.24,5.6
"6",0.12,0.24,4.9
"7",0.14,0.24,4.4
"8",0.16,0.24,5.4
"9",0.18,0.24,5
"10",0.2,0.24,5.3
"11",0.22,0.24,4.8
"12",0.24,0.24,4.1
"13",0.26,0.24,6.1
"14",0.28,0.24,6.9
"15",0.3,0.24,4.7
"16",0.32,0.24,5.1
"17",0.34,0.24,4.5
"18",0.36,0.24,5.7
"19",0.38,0.24,6.5
"20",0.4,0.24,7.1
"21",0.42,0.24,6.8
"22",0.44,0.24,5.9
"23",0.46,0.24,6.9
"24",0.48,0.24,6.8
"25",0.5,0.24,5.5
"26",0.52,0.24,8.5
"27",0.54,0.24,8
"28",0.56,0.24,7.5
"29",0.58,0.24,8.9
"30",0.6,0.24,7.1
"31",0.62,0.24,9
"32",0.64,0.24,10.7
"33",0.66,0.24,11.1
"34",0.68,0.24,14.1
"35",0.7,0.24,14.5
"36",0.72,0.24,14.2
"37",0.74,0.24,16.3
"38",0.76,0.24,17
"39",0.78,0.24,19.3
"40",0.8,0.24,22.8
"41",0.82,0.24,25.2
"42",0.84,0.24,31
"43",0.86,0.24,32.8
"44",0.88,0.24,38.3
"45",0.9,0.24,45.1
"46",0.92,0.24,56.7
"47",0.94,0.24,63.7
"48",0.96,0.24,75.4
"49",0.98,0.24,76.3
"","V1","V2","V3"
"1",0.02,0.26,6.9
"2",0.04,0.26,3.8
"3",0.06,0.26,6.1
"4",0.08,0.26,5.1
"5",0.1,0.26,5.4
"6",0.12,0.26,4.7
"7",0.14,0.26,5.5
"8",0.16,0.26,6.2
"9",0.18,0.26,5.4
"10",0.2,0.26,5.6
"11",0.22,0.26,5
"12",0.24,0.26,6.6
"13",0.26,0.26,5.6
"14",0.28,0.26,7.1
"15",0.3,0.26,5.6
"16",0.32,0.26,6.2
"17",0.34,0.26,5.5
"18",0.36,0.26,5.5
"19",0.38,0.26,6
"20",0.4,0.26,5
"21",0.42,0.26,7.1
"22",0.44,0.26,7.9
"23",0.46,0.26,7.8
"24",0.48,0.26,7
"25",0.5,0.26,7.6
"26",0.52,0.26,9.4
"27",0.54,0.26,7.3
"28",0.56,0.26,9.5
"29",0.58,0.26,11.1
"30",0.6,0.26,9.6
"31",0.62,0.26,10.9
"32",0.64,0.26,11.6
"33",0.66,0.26,13.5
"34",0.68,0.26,13.9
"35",0.7,0.26,12.9
"36",0.72,0.26,15.1
"37",0.74,0.26,17.4
"38",0.76,0.26,19.5
"39",0.78,0.26,19.6
"40",0.8,0.26,22.4
"41",0.82,0.26,23.1
"42",0.84,0.26,30.5
"43",0.86,0.26,36.3
"44",0.88,0.26,41.5
"45",0.9,0.26,48.1
"46",0.92,0.26,54.5
"47",0.94,0.26,67.5
"48",0.96,0.26,73.2
"49",0.98,0.26,78.6
"","V1","V2","V3"
"1",0.02,0.28,6.4
"2",0.04,0.28,5.8
"3",0.06,0.28,6.7
"4",0.08,0.28,5.3
"5",0.1,0.28,5.5
"6",0.12,0.28,5.9
"7",0.14,0.28,5.4
"8",0.16,0.28,5.7
"9",0.18,0.28,5.6
"10",0.2,0.28,6.2
"11",0.22,0.28,5.4
"12",0.24,0.28,3.4
"13",0.26,0.28,6.3
"14",0.28,0.28,3.9
"15",0.3,0.28,7.2
"16",0.32,0.28,4.9
"17",0.34,0.28,7.9
"18",0.36,0.28,5.8
"19",0.38,0.28,5.8
"20",0.4,0.28,5.4
"21",0.42,0.28,5.9
"22",0.44,0.28,8.4
"23",0.46,0.28,8.3
"24",0.48,0.28,8.2
"25",0.5,0.28,8.7
"26",0.52,0.28,8
"27",0.54,0.28,9.5
"28",0.56,0.28,12.4
